Coded,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
p283,0.0522384147292869,0.060867061944141,0.4407863941332501,-0.4650148229052894,0.044156654704322,0.0090007957559681,0.0226728413168981,0.0101633831416757,0.0131673193946013,0.0439066781089093,9.387887579965673,15074.199095022625,0.2989545951006397
p284,0.0489954380150071,0.0468996460893983,0.3945357455231782,-0.6043165078488238,0.0396354094738295,0.0062072780002762,0.0272336818786539,0.0059776844333195,0.0129460410624683,0.0362089375316484,9.146036712240482,17887.455531004005,0.3000506375730792
p285,0.0454822167080231,0.0423440860215053,0.412737799834574,-0.5848221670802316,0.0388751033912324,0.0058406120760959,0.0348448221670802,0.0001074017866004,0.0102224152191894,0.0375574855252274,9.147328370554176,19369.963606286183,0.303556658395368
p286,0.0498080808080808,0.0454191978961209,0.4014404399019783,-0.5617889546351084,0.0451556990018528,0.0062252614906461,0.0230319731038192,0.0013655487780168,0.0128339698762775,0.0374027015719323,9.186940589325204,15385.854431892893,0.298906221983145
p287,0.0487585657568238,0.0428150432864626,0.3934215605183347,-0.6354597077474496,0.0459001929969671,0.0064878665563826,0.0285592038834849,0.0070491789650399,0.0126437386269644,0.0309438279569892,9.005447107802592,16872.18188034188,0.3038544251447477
p290,0.046108993595949,0.0458089790751358,0.4010909226301287,-0.5477610767741455,0.0483654776975202,0.0050840736465857,0.0281457657494973,0.002887581265917,0.0122152394072529,0.032090362275672,9.158572939161516,16797.188081763346,0.3042110358180057
p291,0.0457518984671635,0.0410395413209581,0.4172174565227581,-0.6878595134298973,0.0521023765996343,0.0045120962827544,0.037211673312708,0.0035494996793699,0.0122487695120236,0.0392064079126236,9.105651994562415,18696.18126845732,0.2926686354474288
p292,0.0465834489047628,0.0458793757243003,0.399547846571803,-0.5454990975929479,0.0523586070634724,0.0050348310124057,0.0218768590022227,0.0027393908976575,0.0133038850998347,0.0368882478104755,9.234420920645174,15441.907365541349,0.3028478066759123
p293,0.0443271964606202,0.0524866004424224,0.4012270962894945,-0.6031776367961935,0.0383989315079928,0.0077657080846446,0.0189109155127509,0.0162325296055761,0.0158771735047372,0.0332130222463374,9.386658666889268,16896.97278684419,0.2966734838682749
p295,0.0474582196231319,0.0445378090668266,0.3817663817663817,-0.6311359524166542,0.0414354975758484,0.0055614434947768,0.0360542063277852,0.0035714322322187,0.0127546658669465,0.03773412305693,9.0376604188534,19908.172239716096,0.2833508272104763
p296,0.0479155322937931,0.045233463666768,0.4188637449507014,-0.6135984015984016,0.0463232419754158,0.006038357294879,0.0254309937671024,0.0067174478994918,0.0122331581462016,0.0363344720496894,9.028035051904617,16592.886331060243,0.3026538678712591
p297,0.0430716430115063,0.0411198265288242,0.4208574265521873,-0.6220079142573448,0.0481864377080777,0.0036644938963845,0.0343751786869925,0.001997443615735,0.0128633753869516,0.0305595671981776,9.08038297996612,19045.77121663454,0.2862274399859821
p298,0.0445318254714372,0.0471874135928772,0.40535309406625,-0.6067249350218437,0.0398164021456616,0.0042782005198252,0.036568238124205,0.0009625799778797,0.0131842559309849,0.0432452082066028,8.722624177404192,22295.223358955926,0.2988995188851407
p299,0.0509214985641317,0.053593638336585,0.3857772321722164,-0.5208928250432951,0.0340881688844071,0.007890560536642,0.0227692856172041,0.0059860924793388,0.0133123572352412,0.0419463029133875,9.235421684898174,16538.86277045838,0.2974987395050091
p306,0.0473345527389277,0.0439305254953379,0.4177884615384615,-0.5817259469696969,0.0457313519813519,0.0053857153263403,0.0285665880493881,0.0073182276423368,0.0133441856060606,0.0310763446969696,9.002948251748252,14606.284804778556,0.2973193473193473
p307,0.0455574909383809,0.0456746706173407,0.3749208906276969,-0.5967712588458661,0.0376560612162706,0.0043727662389966,0.0379510036821816,0.002056486438496,0.0137296228640469,0.0388759076002531,9.080052514239688,19216.88536332777,0.2988895920833093
p310,0.0505169245043984,0.0505398499366557,0.4036543368484913,-0.468422621915315,0.039255571614653,0.0070621148047035,0.0184935105722391,0.0017571305570722,0.0133189051264207,0.0383066163481612,9.276295897792766,15182.614064200705,0.3052120693039273
p316,0.0491806829566959,0.0480616921778173,0.3913224980518757,-0.5223160877954653,0.0470240083119967,0.006617833685851,0.02037188703848,0.0027169766291884,0.0131283711826041,0.0349046810642324,9.253330921369997,16283.662501391518,0.302367434784222
p317,0.0511763759664526,0.0524946104704494,0.4532826628226969,-0.4761188900537282,0.0369545275848512,0.006173709212423,0.020483001572533,0.0026889431450661,0.0139291410038002,0.0445789903027126,9.803834294325776,16969.75409513825,0.2996330756126326
p319,0.0506639561133092,0.0432619722309876,0.4043741049105517,-0.6374717091050319,0.0376240988421486,0.0063206981090856,0.0311578093065029,0.0072660271781925,0.0114177464378474,0.0373055222467655,8.938172536835207,15308.449061824893,0.3029589533218438
p320,0.0540101203214327,0.0587210867782101,0.4195832228382537,-0.4275083472608526,0.0344312946734176,0.0060053790032624,0.0136830158909398,0.0061262857461347,0.014113255709255,0.0417890662292089,8.92019086765876,14956.413927930484,0.3011242745869539
p322,0.0485204117855875,0.0448461907102482,0.4082357117500887,-0.6006682231506512,0.0408781846481526,0.0066675377515633,0.0298152758116927,0.0021521991171732,0.0128614401572868,0.0386668059310231,9.425855028535539,17035.611670899212,0.2924551486851806
p323,0.0449692567799687,0.0425150325629901,0.3985679371030908,-0.7423628105338581,0.0395166910415092,0.0066161065360567,0.0271066135294117,0.0152857124476595,0.0130027905104975,0.0295538967030162,9.133929805361156,17816.772514011445,0.3003160550053493
p326,0.0502885222033487,0.046639541373453,0.4100946372239747,-0.5246884251395292,0.0400388255277845,0.0071172894928415,0.0251203320795923,0.001095884136132,0.0136193642319825,0.0347159669983013,9.501277117204562,15767.448556175685,0.3013831594273234
p331,0.0540829719242182,0.0564046735905044,0.3904645058205888,-0.4024030472494864,0.0372917142204976,0.0087011412919424,0.011145033068934,0.0002656693868409,0.0134110876512211,0.0449379451038575,9.353529160009128,15507.041343300616,0.3067792741383245
p332,0.0443485626106629,0.0383622438766476,0.4171871926027936,-0.790195172634271,0.0392853629746212,0.0054146566987999,0.0342069933835825,0.0162231952922732,0.0128195578398583,0.0272019980818414,9.189128258410387,14130.30918011017,0.2986302380483966
p335,0.0551259616948346,0.0583083640867182,0.4127750603600335,-0.451595994345547,0.0400190149742922,0.0061565432778312,0.0171437201671316,0.0006966220172135,0.0141678609404906,0.0504175388118143,9.01259700764352,17964.788858726242,0.3050527290241064
